,회사명,거래소코드,회계년도,한계기업여부,이자보상배율(이자비용)
1017,(주)오스코텍,039200,2011.0,1,0.55
1018,(주)오스코텍,039200,2012.0,1,-0.81
1019,(주)오스코텍,039200,2013.0,1,-1.43
1020,(주)오스코텍,039200,2014.0,0,-1.42
1021,(주)오스코텍,039200,2017.0,0,-11.98
1022,에이아이비트(주),039230,2012.0,1,-2.31
1023,에이아이비트(주),039230,2013.0,0,0.9
1024,에이아이비트(주),039230,2016.0,0,-8.14
1025,인포뱅크(주),039290,2014.0,0,-29.21
1026,(주)다산네트웍스,039560,2015.0,1,0.09
1027,(주)다산네트웍스,039560,2016.0,1,-2.88
1028,(주)다산네트웍스,039560,2017.0,0,0.01
1029,(주)스포츠서울,039670,2012.0,1,-2.65
1030,한국정보공학(주),039740,2012.0,0,0.74
1031,한국정보공학(주),039740,2017.0,1,-0.08
1032,한국정보공학(주),039740,2018.0,0,-3.81
1033,(주)위노바,039790,2013.0,1,-7.01
1034,(주)위노바,039790,2014.0,1,-6.84
1035,(주)디오,039840,2014.0,0,0.45
1036,(주)나노엔텍,039860,2011.0,1,-12.31
1037,(주)나노엔텍,039860,2012.0,1,-5.04
1038,(주)나노엔텍,039860,2013.0,1,-0.44
1039,(주)나노엔텍,039860,2014.0,1,-8.4
1040,(주)나노엔텍,039860,2015.0,1,-29.21
1041,(주)나노엔텍,039860,2016.0,0,-29.21
1042,(주)누리플렉스,040160,2011.0,1,0.79
1043,(주)누리플렉스,040160,2012.0,0,-3.57
1044,(주)와이티엔,040300,2015.0,1,-2.28
1045,(주)와이티엔,040300,2016.0,0,0.65
1046,(주)큐로컴,040350,2012.0,1,-3.15
1047,(주)큐로컴,040350,2013.0,1,-3.91
1048,(주)큐로컴,040350,2014.0,1,-13.89
1049,(주)큐로컴,040350,2015.0,1,-7.6
1050,(주)큐로컴,040350,2016.0,1,-3.8
1051,(주)큐로컴,040350,2017.0,1,-1.95
1052,(주)큐로컴,040350,2018.0,1,-4.11
1053,(주)와이즈파워,040670,2012.0,1,-29.21
1054,(주)폴라리스오피스,041020,2011.0,0,0.05
