회사명,거래소코드,회계년도,이자보상배율(이자비용)
(주)바이오스마트,038460,2009/12,3.22
(주)바이오스마트,038460,2010/12,5.62
(주)바이오톡스텍,086040,2009/12,3.23
(주)바이오톡스텍,086040,2010/12,2.25
(주)바텍,043150,2009/12,8.26
(주)바텍,043150,2010/12,11.85
(주)방림,003610,2009/09,3.25
(주)방림,003610,2010/09,1.24
(주)백금티앤에이,046310,2009/12,5.89
(주)백금티앤에이,046310,2010/12,1.72
(주)백산,035150,2009/12,2.77
(주)백산,035150,2010/12,2.3
(주)버킷스튜디오,066410,2009/12,-1.78
(주)버킷스튜디오,066410,2010/12,-4.94
(주)베셀,177350,2009/12,
(주)베셀,177350,2010/12,10.69
(주)벽산,007210,2009/12,3.02
(주)벽산,007210,2010/12,4.17
(주)보광산업,225530,2009/12,2.01
(주)보광산업,225530,2010/12,1.5
(주)보락,002760,2009/12,5.73
(주)보락,002760,2010/12,5.98
(주)보령,003850,2009/12,24.5
(주)보령,003850,2010/12,17.09
(주)부-스타,008470,2009/12,751.87
(주)부-스타,008470,2010/12,2340.85
(주)부방,014470,2009/12,4.93
(주)부방,014470,2010/12,6.75
(주)뷰웍스,100120,2009/12,999999999
(주)뷰웍스,100120,2010/12,999999999
(주)브리지텍,064480,2009/12,2277.88
(주)브리지텍,064480,2010/12,999999999
(주)브이티지엠피,018290,2009/09,1.15
(주)브이티지엠피,018290,2010/12,0.85
(주)블루베리엔에프티,044480,2009/12,999999999
(주)블루베리엔에프티,044480,2010/12,-203.95
(주)블루콤,033560,2009/12,999999999
(주)블루콤,033560,2010/12,999999999
(주)비덴트,121800,2009/06,36.95
(주)비덴트,121800,2010/06,60.75
(주)비보존제약,082800,2009/12,-4.95
(주)비보존제약,082800,2010/12,1.06
(주)비비안,002070,2009/12,308.43
(주)비비안,002070,2010/12,386.22
(주)비상교육,100220,2009/12,93.16
(주)비상교육,100220,2010/12,43.86
(주)비씨월드제약,200780,2009/12,11.76
(주)비씨월드제약,200780,2010/12,8.25
(주)비아트론,141000,2010/12,17.89
(주)비에이치,090460,2009/12,4.49
(주)비에이치,090460,2010/12,1.61
(주)비엔지티,032790,2009/12,0.8
(주)비엔지티,032790,2010/12,1.1
(주)비엘,142760,2009/12,
(주)비엘,142760,2010/12,-7.67
(주)비엘팜텍,065170,2009/12,-3.4
(주)비엘팜텍,065170,2010/12,0.37
(주)비엠티,086670,2009/12,3.78
(주)비엠티,086670,2010/12,4.85
(주)비와이씨,001460,2009/12,11.71
(주)비와이씨,001460,2010/12,15.28
(주)비지에프,027410,2009/12,122.31
(주)비지에프,027410,2010/12,161.92
(주)비츠로셀,082920,2009/03,13.93
(주)비츠로셀,082920,2010/03,172.05
(주)비츠로시스,054220,2009/03,1.6
(주)비츠로시스,054220,2010/03,4.42
(주)비츠로테크,042370,2009/03,1.9
(주)비츠로테크,042370,2010/03,2.78
(주)비케이홀딩스,050090,2009/12,1.25
(주)비케이홀딩스,050090,2010/12,0.82
(주)비트컴퓨터,032850,2009/12,-2.21
(주)비트컴퓨터,032850,2010/12,2.19
(주)빅솔론,093190,2009/12,41.66
(주)빅솔론,093190,2010/12,43.59
(주)빅텍,065450,2009/12,14.88
(주)빅텍,065450,2010/12,8.73
(주)빙그레,005180,2009/12,281.24
(주)빙그레,005180,2010/12,226.77
(주)사람인에이치알,143240,2009/12,
(주)사람인에이치알,143240,2010/12,25.03
(주)사조대림,003960,2009/12,40.79
(주)사조대림,003960,2010/12,57.82
(주)사조오양,006090,2009/03,2.58
(주)사조오양,006090,2010/12,6.92
(주)삼기,122350,2010/06,
(주)삼보판지,023600,2009/12,3.32
(주)삼보판지,023600,2010/12,2.89
(주)삼성출판사,068290,2009/12,11.93
(주)삼성출판사,068290,2010/12,15.77
(주)삼양홀딩스,000070,2009/12,4.3
(주)삼양홀딩스,000070,2010/12,3.21
(주)삼에스코리아,060310,2009/03,-2.01
(주)삼에스코리아,060310,2010/03,-2.28
(주)삼원강재,023000,2009/12,9.87
(주)삼원강재,023000,2010/12,22.93
(주)삼익악기,002450,2009/12,1.5
(주)삼익악기,002450,2010/12,1.49
(주)삼일,032280,2009/12,0.81
(주)삼일,032280,2010/12,1.14
(주)삼일기업공사,002290,2009/12,164.1
(주)삼일기업공사,002290,2010/12,71.45
(주)삼일씨엔에스,004440,2009/12,0.64
(주)삼일씨엔에스,004440,2010/12,1.05
(주)삼진,032750,2009/12,2.36
(주)삼진,032750,2010/12,9.49
(주)삼진엘앤디,054090,2009/12,-2.5
(주)삼진엘앤디,054090,2010/12,1.03
(주)삼천리,004690,2009/12,7.15
(주)삼천리,004690,2010/12,8.89
(주)삼표시멘트,038500,2009/12,-0.25
(주)삼표시멘트,038500,2010/12,0.09
(주)삼화네트웍스,046390,2009/12,12.64
(주)삼화네트웍스,046390,2010/12,2.22
(주)상보,027580,2009/12,3.27
(주)상보,027580,2010/12,2.67
(주)상상인,038540,2009/12,5.63
(주)상상인,038540,2010/12,26.66
(주)상상인인더스트리,101000,2009/12,3.83
(주)상상인인더스트리,101000,2010/12,-3.56
(주)상상인증권,001290,2009/03,
(주)상상인증권,001290,2010/03,
(주)상아프론테크,089980,2009/12,9.2
(주)상아프론테크,089980,2010/12,12.29
(주)상지카일룸,042940,2009/12,1.69
(주)상지카일룸,042940,2010/12,2.18
(주)새로닉스,042600,2009/12,4.14
(주)새로닉스,042600,2010/12,8.56
(주)새빗켐,107600,2010/12,
(주)서남,294630,2010/12,
(주)서린바이오사이언스,038070,2009/12,5145.84
(주)서린바이오사이언스,038070,2010/12,245.63
(주)서부티엔디,006730,2009/12,0.75
(주)서부티엔디,006730,2010/12,0.55
(주)서산,079650,2009/12,999999999
(주)서산,079650,2010/12,999999999
(주)서연,007860,2009/12,3.33
(주)서연,007860,2010/12,12.31
(주)서연탑메탈,019770,2009/12,32.32
(주)서연탑메탈,019770,2010/12,63.13
(주)서울리거,043710,2009/12,-13.99
(주)서울리거,043710,2010/12,-12.39
(주)서울옥션,063170,2009/12,-1263.33
